channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,channel9,channel10,channel11,channel12,channel13,channel14,channel15,channel16,3.99,3.95,3.9,Bit per symbol/diff modulation format
1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0.002460083,0.00261297,0.002113148,
1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0.002421587,0.00246333,0.002212675,
1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0.002566258,0.00280866,0.00250464,
1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,0.002432492,0.002513327,0.002154477,
1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0.002770433,0.002878152,0.002530487,
1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0.002558316,0.002795844,0.002574802,
1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0.002965926,0.003368194,0.002641109,
1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0.002072937,0.002172265,0.00180249,
1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0.001985585,0.002230742,0.001862327,
1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0.001942032,0.002220335,0.002059805,
1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0.002492299,0.002530595,0.002275222,
1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0.002057112,0.002174213,0.00213646,
1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,0.002505035,0.002446126,0.00232069,
1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,0.002474351,0.002474667,0.002210413,
1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0.002656984,0.002867632,0.002548989,
1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0.001993884,0.002260343,0.002047335,
1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0.002374755,0.002601931,0.00222293,
1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0.002272313,0.002733893,0.002345916,
1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0.002625738,0.002846369,0.002679293,
1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0.002359962,0.002668432,0.002447126,
1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0.002636376,0.002721069,0.002431961,
1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0.002658948,0.002981494,0.002363655,
1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0.002894583,0.003177358,0.002921066,
1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0.002175431,0.002539718,0.002139638,
1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0.002165313,0.002691156,0.002182206,
1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0.002537247,0.002589888,0.002272465,
1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0.002611009,0.002907525,0.00225413,
1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0.0026142,0.002730917,0.002244986,
1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0.002564447,0.002752913,0.002292582,
1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0.002654853,0.002832457,0.002395919,
1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0.00278938,0.003269855,0.002574681,
1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0.002610163,0.002641268,0.00207959,
1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0.002797995,0.002836896,0.002283231,
1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0.00268854,0.002757749,0.002335351,
1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0.002651206,0.00297591,0.002500509,
1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0.002501404,0.002668238,0.002204797,
1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0.002878699,0.002988921,0.002317186,
1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0.003120554,0.003103687,0.002340566,
1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0.003416105,0.003116556,0.002726963,
1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0.001893892,0.002062798,0.001540617,
1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0.002575989,0.002457152,0.001888212,
1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0.002346672,0.0023159,0.001851747,
1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0.002621989,0.002566208,0.00209566,
1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0.002359036,0.002279429,0.001677109,
